scenario,attack_enabled,malicious_client_id,attack_scale,labels_per_client,round,optimizer,learning_rate,fl_test_loss,fl_test_accuracy,sfl_test_loss,sfl_test_accuracy,fl_minus_sfl_accuracy,global_l2_distance_fl_vs_sfl,fl_time_sec,sfl_time_sec,evaluation_time_sec,total_round_time_sec,weights_dir
baseline_no_attack,False,,0.0,1,1,SGD,0.005,2.3119002655029295,0.0892,2.3119002655029295,0.0892,0.0,0.0,3.1672861771658063,3.407448109006509,0.6566207648720592,7.238709802972153,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,2,SGD,0.005,2.3107321426391603,0.0892,2.3107321426391603,0.0892,0.0,0.0,3.1997035888489336,3.3425020470749587,0.6653523270506412,7.213963693007827,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,3,SGD,0.005,2.3095903438568115,0.0892,2.3095903438568115,0.0892,0.0,0.0,3.1089526100549847,3.3002177430316806,0.6772594770882279,7.089025736087933,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,4,SGD,0.005,2.308583066558838,0.0892,2.308583066558838,0.0892,0.0,0.0,3.146391093963757,3.4079728149808943,0.6507589919492602,7.212121580960229,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,5,SGD,0.005,2.307652515411377,0.0892,2.307652515411377,0.0892,0.0,0.0,3.116002802969888,3.3781661740504205,0.6531618980225176,7.150303869042546,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,6,SGD,0.005,2.3069012615203857,0.0884,2.3069012615203857,0.0884,0.0,0.0,3.1251335460692644,3.3568677469156682,0.6617104320321232,7.146531017031521,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,7,SGD,0.005,2.3067524913787842,0.0874,2.3067524913787842,0.0874,0.0,0.0,3.125149881001562,3.291498214006424,0.6597857158631086,7.079023303929716,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,8,SGD,0.005,2.309721272659302,0.1093,2.309721272659302,0.1093,0.0,0.0,3.100853850133717,3.298346356023103,0.6865669579710811,7.088783105835319,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,9,SGD,0.005,2.3331947597503664,0.1028,2.3331947597503664,0.1028,0.0,0.0,3.200900932075456,3.304050388978794,0.655883994884789,7.163466837955639,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,10,SGD,0.005,2.364792588043213,0.1028,2.364792588043213,0.1028,0.0,0.0,3.062701197108254,3.226364618865773,0.6584020408336073,6.953698406927288,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
