labels_per_client,round,optimizer,learning_rate,fl_test_loss,fl_test_accuracy,sfl_test_loss,sfl_test_accuracy,fl_minus_sfl_accuracy,global_l2_distance_fl_vs_sfl,fl_time_sec,sfl_time_sec,evaluation_time_sec,total_round_time_sec,weights_dir
1,1,SGD,0.005,2.3119002655029295,0.0892,2.3119002655029295,0.0892,0.0,0.0,3.030592883937061,3.0825979018118232,0.6495942249894142,6.771002130815759,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,2,SGD,0.005,2.3107321426391603,0.0892,2.3107321426391603,0.0892,0.0,0.0,2.765848741866648,2.979119281983003,0.6102430280297995,6.357836010167375,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,3,SGD,0.005,2.3095903438568115,0.0892,2.3095903438568115,0.0892,0.0,0.0,2.7303169250953943,2.8585199320223182,0.6160484030842781,6.207534919958562,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,4,SGD,0.005,2.308583066558838,0.0892,2.308583066558838,0.0892,0.0,0.0,2.716785070952028,3.244672449072823,0.6181307039223611,6.582303167087957,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,5,SGD,0.005,2.307652515411377,0.0892,2.307652515411377,0.0892,0.0,0.0,2.994480154942721,2.9261814118362963,0.6146358828991652,6.537962608970702,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,6,SGD,0.005,2.3069012615203857,0.0884,2.3069012615203857,0.0884,0.0,0.0,2.8082972490228713,2.893018465023488,0.6174362939782441,6.321383001981303,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,7,SGD,0.005,2.3067524913787842,0.0874,2.3067524913787842,0.0874,0.0,0.0,2.6714097468648106,3.0180421569384634,0.6249274229630828,6.317062987945974,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,8,SGD,0.005,2.309721272659302,0.1093,2.309721272659302,0.1093,0.0,0.0,2.828183152945712,2.9495663861744106,0.6490523859392852,6.42937711882405,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,9,SGD,0.005,2.3331947597503664,0.1028,2.3331947597503664,0.1028,0.0,0.0,2.715767406858504,3.1886511051561683,0.7296715520787984,6.63711118302308,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,10,SGD,0.005,2.364792588043213,0.1028,2.364792588043213,0.1028,0.0,0.0,3.2535583400167525,3.3813667909707874,0.7419682459440082,7.380175690166652,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,11,SGD,0.005,2.371117403411865,0.1135,2.371117403411865,0.1135,0.0,0.0,3.3454948801081628,3.384804471861571,0.7314919109921902,7.4648373138625175,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,12,SGD,0.005,2.3604266551971436,0.1135,2.3604266551971436,0.1135,0.0,0.0,3.367852424038574,3.4524843161925673,0.6762204538099468,7.499139161081985,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,13,SGD,0.005,2.3470843639373777,0.1135,2.3470843639373777,0.1135,0.0,0.0,3.278835925972089,3.190991793991998,0.6713881408795714,7.147589402040467,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,14,SGD,0.005,2.337348069000244,0.1135,2.337348069000244,0.1135,0.0,0.0,3.2715726448222995,3.351404594955966,0.6694559429306537,7.2952263068873435,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,15,SGD,0.005,2.3317667446136476,0.1135,2.3317667446136476,0.1135,0.0,0.0,3.3254028540104628,3.3297900231555104,0.6647945661097765,7.322591172996908,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,16,SGD,0.005,2.328162380218506,0.1135,2.328162380218506,0.1135,0.0,0.0,3.3136116568930447,3.4029831138905138,0.6841760980896652,7.40386415598914,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,17,SGD,0.005,2.326910581970215,0.1135,2.326910581970215,0.1135,0.0,0.0,3.2981718180235475,3.472964066080749,0.6649632761254907,7.4392876049969345,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,18,SGD,0.005,2.3257502269744874,0.1135,2.3257502269744874,0.1135,0.0,0.0,3.2685216469690204,3.3870194270275533,0.6658822209574282,7.324110910994932,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,19,SGD,0.005,2.325258715057373,0.1135,2.325258715057373,0.1135,0.0,0.0,3.2453109628986567,3.2018581859301776,0.6572849010117352,7.107323206961155,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,20,SGD,0.005,2.323367575073242,0.1135,2.323367575073242,0.1135,0.0,0.0,3.12028828705661,3.4525676139164716,0.6779044030699879,7.253708783071488,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,21,SGD,0.005,2.322826460647583,0.1135,2.322826460647583,0.1135,0.0,0.0,3.0077497938182205,3.4662682460621,0.693953201873228,7.170963732060045,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,22,SGD,0.005,2.320228157043457,0.1135,2.320228157043457,0.1135,0.0,0.0,3.221256293123588,3.4257861748337746,0.6639203990343958,7.313946265960112,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,23,SGD,0.005,2.31905612411499,0.1135,2.31905612411499,0.1135,0.0,0.0,3.032752600032836,3.3565800699871033,0.6618633738253266,7.054188723908737,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,24,SGD,0.005,2.3180121040344237,0.1135,2.3180121040344237,0.1135,0.0,0.0,3.144679266959429,3.4470524759963155,0.7039949300233275,7.298689462943003,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,25,SGD,0.005,2.316262725067139,0.1135,2.316262725067139,0.1135,0.0,0.0,3.2044404910411686,3.4378387690521777,0.6561497580260038,7.305159670999274,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,26,SGD,0.005,2.3140117847442627,0.1135,2.3140117847442627,0.1135,0.0,0.0,3.2584065890405327,3.391004455043003,0.6648348479066044,7.321304814890027,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,27,SGD,0.005,2.313628886795044,0.1135,2.313628886795044,0.1135,0.0,0.0,3.287496526958421,3.452063367003575,0.6892503898125142,7.4318316609133035,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,28,SGD,0.005,2.310121760559082,0.1135,2.310121760559082,0.1135,0.0,0.0,3.160787126980722,3.5706286600325257,0.6707091329153627,7.405137595022097,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,29,SGD,0.005,2.3103258792877197,0.1135,2.3103258792877197,0.1135,0.0,0.0,3.247562318108976,3.294714251998812,0.6661711409687996,7.215892816893756,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
